label2,label3,溫度,部位
t-shirts-and-tanks,short-sleeve,"4,5,6,7",1
t-shirts-and-tanks,tanks,"4,5,6,7",1
t-shirts-and-tanks,long-sleeve,"1,2,3,4",1
t-shirts-and-tanks,polo,"4,5,6,7",1
t-shirts-and-tanks,best-basics,x,1
t-shirts-and-tanks,graphic-printed-t-shirts,x,1
hoodies-and-sweatshirts,,"1,2,3",1
tank-tops,,x,
bottoms,,x,
hm-sport,trousers-joggers,"1,2,3,4",2
hm-sport,tops,4,1
hm-sport,shorts,"4,5,6,7",2
hm-sport,jackets,"1,2,3,4",
hm-sport,bottoms,"4,5",3
hm-sport,leggings-tights,"3,4",3
hm-sport,sport-accessories,"1,2,3,4,5,6",5
shirts,long-sleeve,"1,2,3,4",1
shirts,casual,x,1
shirts,dressed,x,1
shirts,short-sleeve-shirts,"4,5,6",1
shirts,denim,x,1
shirts,flannel,x,1
trousers,trousers,"1,2,3,4",2
shirts,linen,x,1
trousers,chinos,"1,2,3,4,5",2
trousers,cargo-trousers,"1,2,3,4,5",2
jeans,joggers,"2,3,4,5",2
jeans,slim,"2,3,4,5",2
jeans,regular,"2,3,4,5",2
jeans,relaxed,"2,3,4,5",2
shorts,linen,"5,6,7",2
shorts,jogger,"5,6,7",2
shorts,jeans-shorts,"5,6,7",2
shorts,chino-shorts,"5,6,7",2
shorts,cargo-shorts,"5,6,7",2
shorts,casual-shorts,"5,6,7",2
premium-selection,t-shirts,x,1
premium-selection,trousers,x,2
premium-selection,shoes,x,4
premium-selection,shirts,x,1
premium-selection,jackets-coats,x,3
premium-selection,cardigans-jumpers,x,1
premium-selection,accessories,x,5
jackets-and-coats,linen,"3,4",3
jackets-and-coats,waterproof,"1,2,3",3
jackets-and-coats,windbreaker-jackets,"1,2",3
jackets-and-coats,trench-coats,"1,2,3",3
cardigans-and-jumpers,turtleneck-jumpers,"1,2,3",1
blazers-and-suits,blazers,"3,4",3
blazers-and-suits,suits,"3,4",3
blazers-and-suits,waistcoats,"3,4",3
blazers-and-suits,suit-trousers,"3,4",2
socks,trainer-socks,x,5
blazers-and-suits,premium-quality,x,3
socks,sports-socks,x,5
shoes,sneakers,"1,2,3,4,5,6",4
shoes,smart-shoes,"1,2,3,4,5,6",4
accessories,belts-and-suspenders,"1,2,3,4,5,6",5
accessories,ties-bow-tie-and-handkerchiefs,"1,2,3,4,5,6",5
accessories,other,"1,2,3",5
accessories,sports-accessories,x,5